"","nDays","NEntries","NWonEntries","Profit","MaxDDMoney","MaxNConsLostEntries","Perc_OfBal_ToEntry","ProfitPerDay","OptMethod","Ticker","TFs","ParValues","ParNames"
"501",721.709027777778,1218,1007,10188.765206315,6000,4,5.40076565142432,14.1175526620296,"SEQ","AUDUSD","5 mins","40/10/1/-1.2/45/2.5/15/2.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"59",721.709027777778,1157,1003,11046.2152659913,6000,4,7.91582728278607,15.3056354303948,"SEQ","AUDUSD","5 mins","50/10/1/-1.2/45/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"461",721.709027777778,1206,993,16635.7179500001,5635.78066000003,4,10,23.0504501256183,"SEQ","AUDUSD","5 mins","40/10/1/-1.2/45/2.5/105/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"161",721.709027777778,1131,960,10045.5682510939,6000,4,7.10272486178375,13.9191389666072,"SEQ","AUDUSD","5 mins","40/10/1/-1.3/45/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"81",721.709027777778,1096,927,14718.16179,5605.72136000003,4,10,20.3934843870789,"SEQ","AUDUSD","5 mins","40/15/1/-1.2/45/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"151",721.709027777778,1036,886,8765.82595622927,6000,4,7.10272486178375,12.1459280940689,"SEQ","AUDUSD","5 mins","40/10/1/-1.35/45/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"91",721.709027777778,946,806,7988.17387550499,6000,4,7.10272486178375,11.0684134021456,"SEQ","AUDUSD","5 mins","40/20/1/-1.2/45/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"141",721.709027777778,938,802,7953.31761648616,6000,4,6.66041165946401,11.0201165710443,"SEQ","AUDUSD","5 mins","40/10/1/-1.4/45/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"131",721.709027777778,829,713,6597.52869842741,6000,4,6.74024181322986,9.14153550045222,"SEQ","AUDUSD","5 mins","40/10/1/-1.45/45/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"101",721.709027777778,793,683,6638.5194183525,6000,4,6.74024181322986,9.19833224033962,"SEQ","AUDUSD","5 mins","40/25/1/-1.2/45/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"321",721.709027777778,789,675,11094.37613,4527.28022999998,4,10,15.3723671216373,"SEQ","AUDUSD","5 mins","40/10/1/-1.2/120/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"361",721.709027777778,743,644,4000.05662231055,6000,5,4.17507082329199,5.54247829575745,"SEQ","AUDUSD","5 mins","40/10/1/-1.2/45/1.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"331",721.709027777778,703,607,8991.68747000006,4520.49758999999,4,10,12.4588817985088,"SEQ","AUDUSD","5 mins","40/10/1/-1.2/135/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"111",721.709027777778,703,606,6344.36156133239,6000,4,8.89120750505149,8.79074712542724,"SEQ","AUDUSD","5 mins","40/30/1/-1.2/45/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"341",721.709027777778,671,580,5575.57240603047,6000,4,8.55510546686254,7.72551290261434,"SEQ","AUDUSD","5 mins","40/10/1/-1.2/150/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"351",721.709027777778,204,179,2540.21921437973,6000,4,6.45818461300235,3.51972764176353,"SEQ","AUDUSD","5 mins","40/10/1/-1.2/45/1/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"110",0,0,0,0,0,0,0,0,"SEQ","AUDUSD","5 mins","10/10/1/-1.2/45/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"121",0,0,0,0,0,0,0,0,"SEQ","AUDUSD","5 mins","40/10/1/-1.5/45/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"221",0,0,0,0,0,0,0,0,"SEQ","AUDUSD","5 mins","40/10/1/-1/45/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"241",0,0,0,0,0,0,0,0,"SEQ","AUDUSD","5 mins","40/10/1/-0.9/45/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"251",0,0,0,0,0,0,0,0,"SEQ","AUDUSD","5 mins","40/10/1/-1.2/15/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
